index,ngram,sentence,replace,error,replacement
826,1,"If the skin prick test or ID were positive, the YFV was administered using a graded dosing protocol.","('or',)",spelling_errors,foo
731,1,METHODS: A retrospective study was performed on HBV patients administered entecavir or tenofovir-disoproxil-fumarate.,"('study',)",random,foo
500,1,"To accommodate a large number of samples, we utilize a pooled serum sample of 300 individuals as a bridging sample.","('as',)",split_words,foo
502,1,"Fifty-two facial dissections were investigated in 26 Thiel embalmed bodies, bequeathed to the Centre for Anatomy and Human Identification at The University of Dundee between 2013 and 2015.","('investigated',)",random,foo
671,1,The obtained clinical data prompted us to further elucidate the underlying regulatory mechanisms of cardiac involvement in human cardiac ventricular myocytes.,"('cardiac',)",duplication,foo
810,1,"For the passive method, CR-39 solid-state nuclear track detectors were used.","('the',)",insert_determiner,foo
215,1,"Contribution of the Presenilins in the cell biology, structure and function of gamma-secretase.","('function',)",remove_words,foo
676,1,Eosinophil infiltration in the background was not evident in any of the cases.,"('the',)",random,foo
683,1,CONCLUSIONS: This study provides that patients can benefit from discharge training and protective cover and that health care professionals become aware of the cover for future use.,"('that',)",random,foo
39,1,"At the end of pregnancy, the mothers were sacrificed, and the RAM tissue was collected.","('were',)",spelling_errors,foo
685,1,"We anticipate that evaluation data collection will be completed by early 2021, with first results ready for publication in spring or summer 2021.","('that',)",insert_determiner,foo
402,1,Is Once-Daily High-Dose Ceftriaxone plus Ampicillin an Alternative for Enterococcus faecalis Infective Endocarditis in Outpatient Parenteral Antibiotic Therapy Programs?,"('for',)",verb_form_change_insert_determiner,foo
917,1,"The primary outcome was to assess the score (quality) of guidelines based on the RIGHT checklist and to identify predictors (region, type, single or multi-centre, and speciality/non-speciality) influencing the quality score.","('of',)",remove_words,foo
979,1,METHODS: Pregnant Sprague-Dawley rodents were administered nitrofen to induce CDH-affected pulmonary vasculature in the offspring.,"('to',)",random,foo
279,1,CONCLUSIONS: We provide a comprehensive analysis of both clinical and pathological findings of the largest cohort of patients operated on for pituitary adenomas in one tertiary reference centre.,"('analysis',)",duplication,foo
94,1,"METHODOLOGY/PRINCIPAL FINDINGS: We tested the ability of TPF to cause apoptotic-like programmed cell death in L. infantum and L. major exponential-phase promastigotes by evaluating several apoptotic indices, such as reduction of proliferation rate, sub-G0/G1 phase cell cycle arrest, phosphatidylserine externalization, mitochondrial transmembrane potential disruption and increased ROS production, by using flow cytometry and microscopy techniques.","('the',)",split_words,foo
183,1,The data collection was done by the self-administration method using questionnaires that were enclosed in envelopes and passed on to the participants by the center's staff.,"('the',)",random,foo
246,1,"Increasing HIV prevalence and injection drug use among men who have sex with men in Ho Chi Minh City, Vietnam.","('among',)",insert_determiner,foo
839,1,"Since the symptoms are similar to other respiratory infections, differential diagnosis in travellers arriving from countries with wide-spread COVID-19 must include other more common infections such as influenza and other respiratory tract diseases.","('such',)",spelling_errors,foo
405,1,No data are available on rivaroxaban use in renal transplant recipients and on its surmised interaction with immunosuppressants.,"('use',)",punctuation_braces,foo
544,1,"OXT may facilitate top-down goal-directed attention by attenuating amygdala activity in high anxiety individuals, while promoting bottom-up attention/vigilance to unexpected threats by enhancing amygdala activity in low anxiety individuals.","('may',)",dictionary_replacement_verb_form_change,foo
861,1,In-situ monitoring and control of the AM process is vital to overcome this problem.,"('to',)",dictionary_replacement_verb_form_change,foo
874,1,"PURPOSE: Living donor nephrectomy is a high-stake procedure involving healthy individuals, therefore every effort should be made to define each patient's individualized risk and improve potential donors' information.","('a',)",duplication,foo
832,1,Stable isotopes reveal contrasting trophic dynamics between host-parasite relationships: A case study of Atlantic salmon (Salmo salar) and parasitic lice (Lepeophtheirus salmonis and Argulus foliaceus).,"('A',)",remove_words,foo
619,1,Dental Disease Nonbattle Injury Rates of Deployed NATO Militaries in the Middle East Region: A Scoping Review.,"('A',)",spelling_errors,foo
659,1,The main objective of this research is to investigate the effect of water content in concrete on the velocities of ultrasonic waves (P- and S-waves) and mechanical properties (elastic modulus and compressive strength) of concrete.,"('investigate',)",insert_determiner,foo
772,1,"Using the optimal threshold of 0.13 described in the original publication, PRESTO had a 97% sensitivity and 37% specificity, while a threshold of 0.50 yielded 90% sensitivity and 54% specificity.","('in',)",duplication,foo
452,1,Computed tomography (CT) is gaining increased recognition in the assessment of body composition in lung transplant (LTx) candidates as a prognostic marker of post-transplant outcomes.,"('the',)",random,foo
480,1,"Overall, our study highlights multiple Slc7a5-sensitive Kv1 subunits, and identifies the voltage-sensing domain as a determinant of Slc7a5 modulation of Kv1 channels.","('study',)",spelling_errors,foo
503,1,Impact of nurse's worked hours on medication administration near-miss error alerts.,"('on',)",punctuation_braces,foo
807,1,Caveolin-3: A Causative Process of Chicken Muscular Dystrophy.,"('of',)",random,foo
531,1,"Conclusions: High-quality, randomized phase 3 trials regarding TC are still insufficient.","('3',)",dictionary_replacement_verb_form_change,foo
626,1,"Liver blood supply is ensured to the right and left hepatic artery, through the gastroduodenal artery, and can be previously monitored, with temporary clamping of the section area, by visual control, enzyme evaluation and intraoperative ultrasound examination.","('with',)",verb_form_change_insert_determiner,foo
241,1,"In this study, we used a model of rat cerebrocortical synaptosomes to investigate whether silymarin affects the release of glutamate, an essential neurotransmitter involved in excitotoxicity.","('an',)",insert_determiner,foo
647,1,"The rotenone-treated mice exhibited motor deficits assessed by open field, rotarod and cylinder test and gastrointestinal dysfunction.","('The',)",remove_words,foo
37,1,The molecular target of SSB2 was verified using several mutation plasmids.,"('using',)",verb_form_change_insert_determiner,foo
476,1,"Reduction of Myomaker in mature myofibers in mdx mice, however, led to minimal alterations in fusion dynamics.","('to',)",remove_words,foo
900,1,"Firstly, the saphenous nerve is a strictly sensory nerve with no motor function.","('is',)",insert_determiner,foo
298,1,Does low back pain or leg pain in gluteus medius syndrome contribute to lumbar degenerative disease and hip osteoarthritis and vice versa?,"('and',)",spelling_errors,foo
440,1,"We examined the effect of educational tracking, dividing students into vocational and academic high school tracks, on adolescent smoking in Taiwan.","('high',)",spelling_errors,foo
574,1,"In this study, the results indicated that PCI does not reduce the risk of cerebral recurrence of resected p-T1-2N0M0 SCLC.","('not',)",spelling_errors,foo
253,1,MATERIALS AND METHODS: HUVEC were isolated from the umbilical cord by enzymatic digestion using collagenase type IV.,"('type',)",spelling_errors,foo
532,1,"After a median follow-up of 96 months (range: 18-224 months), the overall rate of complete cytogenetic response was 79%, of major molecular response, 71%, and of molecular reponse (MR)4.5, 59%.","('and',)",spelling_errors,foo
618,1,The hospitalization rate for patients with CKD is significantly higher than the general population.,"('is',)",random,foo
856,1,Atrase B is a novel metalloproteinase isolated from the venom of Naja atra.,"('novel',)",split_words,foo
679,1,Consistently ensuring the upper limit of scans is at or below T10 has been shown to be a viable method of performing CT-KUB scans.,"('a',)",punctuation_braces,foo
118,1,The primary end point (MACE) was significantly higher in LGE + ve group compared to the LGE -ve group (72.7% vs. 29.4%; p < 0.0001).,"('was',)",insert_determiner,foo
75,1,RESULTS: Mean age of the study population was 63.0 +/- 10.9 with 66% being male.,"('was',)",random,foo
401,1,"Moisture (5.67-7.12 g 100 g(-1)), hardness (56.67-131.66 N), chroma of crust and crumb (29.86-30.27 and 19.76-25.83, respectively), and hue angle of crust and crumb (60.32 degrees -64.79 degrees and 81.41 degrees -82.06 degrees , respectively) were increased; and area (2286.4-1658.1 mm(2)), specific volume (3.47-1.83 mL g(-1)) and luminosity of crust and crumb (62.39-59.67 and 65.49-62.54, respectively) were decreased as the level of substitution of WF by MBF increased.","('by',)",remove_words,foo
429,1,"Most incident gout cases occurred in the cluster of few comorbidities, and the four comorbidity pathways had overall a modest influence on the incidence of gout.","('the',)",verb_form_change_insert_determiner,foo
642,1,"From the theoretic modeling aspect, the intensity of electric power consumption and urbanization have been introduced as the determinants of water-based pollutant emissions in the STIRPAT modeling framework.","('have',)",insert_determiner,foo
48,1,"Orbital hypertelorism is defined as an increased distance between the orbits, with true lateral displacement of the orbits.","('is',)",random,foo
331,1,Queuing Models of Gene Expression: Analytical Distributions and Beyond.,"('and',)",dictionary_replacement_verb_form_change,foo
177,1,"Since then, several seminal discoveries have allowed us to define its function as a neuroendocrine hormone and its molecular targets in mammals and many other species.","('many',)",random,foo
631,1,"In group I, the bleb wall thickness decreased from 754.67 +/- 53.93 mum in the first postoperative day to 684 +/- 81.66 mum and 671.6 +/- 69.48 mum at 1 and 3 months, respectively, while in group II, the bleb wall thickness decreased from 707.13 +/- 31.7 mum in the first postoperative day to 499.53 +/- 99.1 mum and 506 +/- 76.91 mum at 1 and 3 months, respectively.","('and',)",punctuation_braces,foo
798,1,METHODS: This is a single-center case series study.,"('This',)",dictionary_replacement_verb_form_change,foo
489,1,Data were collected prospectively and analysed retrospectively.,"('collected',)",spelling_errors,foo
990,1,The Impact of COVID-19 and Lockdown on Plastic Surgery Training and Practice in India.,"('and',)",duplication,foo
519,1,"Although additional human trials are needed, TRF might reset and synchronize metabolic ""clocks"" found throughout the body that are disturbed with obesity, shift work, and frequent eating.","('the',)",dictionary_replacement_verb_form_change,foo
201,1,"However, intergroup comparison between the test and control groups did not show any statistically significant difference.","('However,',)",random,foo
572,1,This is partly due to the heterogeneity and complexity of the disorder.,"('is',)",punctuations,foo
292,1,"The results highlighted that their levels of depression, anxiety, stress, and quality of life were sometimes worse than in the general population and than in older and younger patients coping with a cardiac illness.","('with',)",punctuations,foo
878,1,CONCLUSION: We were unable to demonstrate the superiority of poractant in terms of mortality in very preterm infants with RDS.,"('with',)",random,foo
933,1,"PROCEDURES: Data extracted from reports included patient identification number, laboratory accession number, patient signalment, collection method, body site, and results of bacterial culture and antimicrobial susceptibility testing.","('results',)",random,foo
989,1,The mobile platform records geospatial coordinates and data from positive pathogen detections can be directly uploaded to a cloud database.,"('and',)",duplication,foo
470,1,Effects of dabigatran and rivaroxaban on stroke severity according to the results of routine coagulation tests.,"('of',)",verb_form_change_insert_determiner,foo
394,1,Clinical Characteristics and Outcomes of Extranodal Stage I Diffuse Large B Cell Lymphoma in The Rituximab-Era.,"('of',)",verb_form_change_insert_determiner,foo
340,1,Associations between baseline coffee drinking and metabolites were identified using linear regression; conditional logistic regression models were used to identify associations with subsequent outcomes.,"('and',)",insert_determiner,foo
81,1,The observed annual peak of drug switches is most likely explained by a specific Dutch reimbursement policy.,"('observed',)",verb_form_change_insert_determiner,foo
947,1,"CONCLUSIONS: Based on our sample of physical therapy trials, it seems that most of the trials are funded by either government and academia and a small percentage are funded by the industry.","('therapy',)",punctuations,foo
371,1,"The calculate results of meta-analysis showed that except fusidic acid, preoperative intravenous injection of cephalosporin, clindamycin, vancomycin, and penicillin can significantly reduce the incidence of ICI after craniotomy, and ITC showed there was no statistically significance difference in the rates of post craniotomy ICI between the various antibiotics.","('in',)",dictionary_replacement_verb_form_change,foo
855,1,Stability of bicarbonate in normal saline: a technical report.,"('of',)",random,foo
630,1,"When a newly developed lung nodule is identified in such patients, clinicians should not take for granted that it is lung metastasis.","('such',)",insert_determiner,foo
813,1,"In this paper, the clinical findings of robotic gastrointestinal surgery were reviewed, and the application of robotic surgical system in gastrointestinal surgery should be viewed rationally.","('application',)",split_words,foo
204,1,A total of 50 patients with MCI were recruited.,"('total',)",split_words,foo
865,1,"Randomized controlled trials of monoclonal antibodies in NMOSD have demonstrated a significant risk reduction of relapse, especially in AQP4-antibody-positive cases.","('risk',)",verb_form_change_insert_determiner,foo
281,1,Macrophage count was 21.5 cells/HPF with 39% CD68(+)CD163(+).,"('with',)",dictionary_replacement_verb_form_change,foo
77,1,Almost 400 publications were reviewed.,"('were',)",random,foo
360,1,"The inoculation of these cells into Balb/c mice produced cytokeratinpositive tumors containing pancytokeratinpositive cells, indicative of cell invasion features.","('cells',)",verb_form_change_insert_determiner,foo
730,1,"Klebsiella pneumoniae: Prevalence, Reservoirs, Antimicrobial Resistance, Pathogenicity, and Infection: A Hitherto Unrecognized Zoonotic Bacterium.","('and',)",random,foo
424,1,"The gene and protein expression levels of CYP2B1, CYP2C6, and CYP2C11 were significantly reduced in the rat liver by CDDP.","('gene',)",split_words,foo
530,1,Safe management of bodies of deceased persons with suspected or confirmed COVID-19: a rapid systematic review.,"('a',)",remove_words,foo
656,1,Random-effects analysis was used to calculate weighted mean estimates and confidence intervals.,"('confidence',)",random,foo
673,1,We also performed stratified analyses according to antibiotic exposure during the age period 0-2 months.,"('age',)",random,foo
174,1,"For nearly a century, much effort has been devoted to finding the right tools to investigate this uncultivated majority, also known as ""microbial dark matter"".","('known',)",duplication,foo
43,1,"Hence, our findings suggest that suppression of inflammatory conditions enhanced expression of TJ protein, ZO-1, or vice versa, contributing to a colitis-ameliorating effect in L. brevis Bmb6.","('to',)",random,foo
343,1,"Compared with the db/m mice, 24 h urinary albumin excretion rate (UAER) and the expressions of ColIV, Fn, p-IkappaB/IkappaB, NF-kappaBp65, TGF-beta1 and p-Smad3/Smad3 were decreased after melatonin treatment (p <0.05).","('were',)",split_words,foo
982,1,Vaginal delivery was the risk factor for FI in females with labor history.,"('factor',)",split_words,foo
964,1,CONCLUSIONS: Combining MNS-based and conventional training can improve upper extremity motor function and cognitive function in stroke patients.,"('cognitive',)",remove_words,foo
150,1,"Patients with cervical cancer, stage T1a-T2b, common tumor types, negative LN on preoperative staging, treated by primary surgery between 01/2007 and 12/2016, with at least unilateral SLN detection were included.","('at',)",split_words,foo
637,1,"RESULTS: Of 472 tested patients, 49 (10.4%) were JAK2(V617F)-positive.","('RESULTS:',)",insert_determiner,foo
809,1,"This paper proposes HSE-HAZOP as a technique for examining the systematic and efficient application of HSE engineering by exploiting the HAZOP systematic risk analysis technique and a quantitative risk derivation method, which is an advantage of the SIL.","('the',)",verb_form_change_insert_determiner,foo
289,1,The aim of the present study was to examine whether honey intake is associated with a lower prevalence of prediabetes.,"('lower',)",spelling_errors,foo
966,1,"CONCLUSIONS: This study demonstrated a statistically significant relationship between perfectionism-discrepancy and reexperiencing as well as between neuroticism and reexperiencing and avoidance, each explaining 4% of variance of their model.","('of',)",split_words,foo
168,1,The World Health Organization guideline was followed to translate the questionnaire.,"('to',)",dictionary_replacement_verb_form_change,foo
408,1,"In conclusion, this study showed that BRD in FC was associated with significant alterations in serum APPs, proinflammatory cytokines, PCT and NPT levels.","('associated',)",split_words,foo
354,1,"Anaplastic cancer constitutes 1% of thyroid cancers, and it is one of the most aggressive cancers.","('most',)",random,foo
593,1,"In light of the dire need for widespread high-quality contact tracing, social work is well-positioned to participate in interprofessional efforts to design, oversee and manage highly effective front-line contact tracing efforts.","('in',)",verb_form_change_insert_determiner,foo
214,1,RESULTS: Auranofin significantly reduces sporulation and toxin production under in vitro conditions and in infected mice in vivo.,"('RESULTS:',)",random,foo
288,1,"Incorporation of computer-aided models in stethoscopes promises prompt, precise, accurate, cost-effective, non-invasive, operator independent, objective diagnosis of chest conditions and reduces number of unnecessary imaging studies.","('models',)",random,foo
180,1,"The evil woman hypothesis, however, suggests the opposite: Women are treated more harshly than men and, therefore, more likely to be arrested.","('are',)",duplication,foo
850,1,Recovered values of RA were evaluated between groups and techniques.,"('were',)",verb_form_change_insert_determiner,foo
353,1,Mechanism of the Potential Therapeutic Candidate Bacillus subtilis BSXE-1601 Against Shrimp Pathogenic Vibrios and Multifunctional Metabolites Biosynthetic Capability of the Strain as Predicted by Genome Analysis.,"('as',)",random,foo
392,1,"In seven cases, CT images obtained at the initial presentation of appendicitis were available for review.","('In',)",random,foo
611,1,"DISCUSSION: Performing CRPP for a SCHF at a CH compared with a TCH results in a 44% decrease in direct cost, driven largely by surgical, anesthesia, and radiology-related savings.","('at',)",dictionary_replacement_verb_form_change,foo
513,1,CONCLUSION: DBS detected pneumococcal and H. influenzae DNA in children with pneumonia and healthy.,"('with',)",duplication,foo
835,1,"The ""short"" inverse agonist 6 destabilizes H11' and dislocates H12, while the ""long"" inverse agonist 7h separates H11 and unwinds H12.","('while',)",spelling_errors,foo
381,1,"Treatment costs were 0.25 euro m(-3) and 0.56 euro m(-3) at acidic and neutral pH, respectively.","('at',)",split_words,foo
970,1,"The present study evaluated immune-related gene expressions and TIL levels, as well as associated chemotherapeutic responses, to elucidate the correlation between gene expression and TIL levels in HGSC.","('levels',)",verb_form_change_insert_determiner,foo
606,1,The proper timing and balance of polymerase activity is important for successful replication.,"('of',)",verb_form_change_insert_determiner,foo
63,1,The indirect effects were mediated by experiential avoidance and uncommitted living.,"('effects',)",remove_words,foo
299,1,The frequency of incident VFx was lower at all vertebral levels in patients given teriparatide.,"('was',)",verb_form_change_insert_determiner,foo
410,1,Preparation and Characterization of Griseofulvin Solid Dispersions.,"('and',)",random,foo
926,1,The present study proposed to investigate the association between TP53 mutations and immunophenotype in MIBC.,"('to',)",spelling_errors,foo
409,1,"Uncontrolled oxidative stress, reported in Salmonella and HIV infections, colorectal cancer or severe acute malnutrition, has been associated with anaerobic gut microbiome alteration, impaired butyrate production, mucosal immunity dysregulation and disruption of host-bacterial mutualism.","('cancer',)",insert_determiner,foo
658,1,"Terpenoid concentrations were found to decrease rapidly under all storage conditions, but temperatures lower than -20 degrees C and grinding of the inflorescences were the least favorable conditions.","('but',)",random,foo
40,1,"If a vaccine is introduced, it must have at least 50% efficacy, and almost everyone in the affected areas must receive it to effectively control outbreaks of Ebola.","('control',)",verb_form_change_insert_determiner,foo
784,1,"Causing ischemia in multiple organs and skin ulcers, calciphylaxis has a poor prognosis.","('multiple',)",split_words,foo
769,1,"Health coaching could be easily delivered via telephone calls, text messages, or short-term face-to-face coaching.","('or',)",split_words,foo
842,1,Based on the hypothesis of nitric oxide being involved in cluster headache pathophysiology we investigated nitric oxide synthases as potential candidate genes for cluster headache.,"('we',)",insert_determiner,foo
235,1,METHODS AND RESULTS: We conducted a real-world nationwide retrospective cohort study using Taiwan's National Health Insurance Research Database.,"('study',)",split_words,foo
782,1,Purpose: To evaluate proximal femoral symmetry of acetabular and femoral offset and femoral neck anteversion pre- and postoperatively in hip arthroplasty by semi-automated 3D-CT and to validate the software measurements by inter- and intraobserver agreement calculations.,"('the',)",random,foo
814,1,This study aims to investigate the short-term efficacy of the inferior mesenteric artery preservation (IMAP) and the inferior mesenteric artery resection (IMAR) on the laparoscopic-assisted radical resection of left hemicolon cancer.,"('This',)",split_words,foo
604,1,"We found that Afatinib inhibited phosphorylation of EGFR, HER2, HER3, and HER4, as well as Akt, whereas it elevated ERK phosphorylation.","('of',)",punctuations,foo
792,1,This study aimed to investigate the diagnostic value of combined assay of islet antigen-specific T cells and Abs in type 1 diabetes mellitus patients.,"('of',)",insert_determiner,foo
723,1,"Yarns were assessed for ease of manufacture, fibrous architecture, protein/polymer content, yarn stability - including initial tropoelastin release, mechanical strength, and ability to support cell growth.","('including',)",insert_determiner,foo
892,1,"Diagnostic RET genetic testing in 1,058 index patients: a UK centre perspective.","('in',)",random,foo
229,1,Management of 760-g Extremely Premature Infant With Dextro-Transposition of the Great Arteries.,"('of',)",insert_determiner,foo
193,1,These findings revealed that fluralaner has a potent scolicidal activity and suggested its therapeutic potential against hydatid disease.,"('activity',)",insert_determiner,foo
860,1,The dataset was randomly divided into a training set (70%) and a test set (30%).,"('was',)",random,foo
703,1,"Effect of Dapagliflozin on Clinical Outcomes in Patients with Chronic Kidney Disease, With and Without Cardiovascular Disease.","('and',)",random,foo
364,1,The present study provides a systematic review of level 1 and level 2 screening tools for the early detection of autism under 24 months of age and an evaluation of the psychometric and measurement properties of their studies.,"('the',)",split_words,foo
958,1,Bivariate and linear regression modeling using change in needs 3 months later were performed.,"('in',)",random,foo
199,1,"METHODS: This study uses data from 232 efficacy trials comprised of 86,776 infected individuals to estimate the artemisinin-based and non-artemisinin-based AmE for treating falciparum malaria between 1991 and 2019.","('the',)",dictionary_replacement_verb_form_change,foo
369,1,"As compared with the time (140 +/- 28 s) for free cholesterol transport in absence of the bilayer, a prolonged time (702 +/- 42 s) is needed to observe the current increase in the presence of the bilayer.","('for',)",random,foo
768,1,"At a median of 5.0 years from initial cancer diagnosis, 49 and 11% had become post- and peri-menopausal respectively.","('years',)",split_words,foo
596,1,The characteristics of the HCC occurrence patterns did not differ between the two groups.,"('two',)",remove_words,foo
413,1,More public awareness is needed for the safe removal of radiator caps and handling of chemicals in overheating engines.,"('in',)",random,foo
564,1,G-PP was associated with lower incidence of >/= grade 3 neutropenia (29% versus 70%) and febrile neutropenia (11% versus 21%).,"('and',)",punctuations,foo
890,1,Nurses' judgments of patient risk of deterioration at change-of-shift handoff: Agreement between nurses and comparison with early warning scores.,"('between',)",punctuation_braces,foo
525,1,"RESULTS: The most frequently used series was the eight-image Eklund ID technique 64% and 59% (submuscular) and 68% and 58% (subglandular) for BSA and diagnostic services, respectively.","('respectively.',)",split_words,foo
537,1,"Moreover, PF could significantly prevent the biofilm formation of E. faecalis at the concentration of 1 x MIC.","('the',)",punctuations,foo
613,1,"To discover new promising archaeal GH candidates, it is necessary to study in detail the microbiology and enzymology of extremely high-temperature habitats, ranging from terrestrial to marine hydrothermal systems.","('it',)",verb_form_change_insert_determiner,foo
770,1,"The 8-year referral sources, in order of frequency, were medical professionals (34%), other patients (32.7%), web-based sources (32.5%), and the others (0.7%).","('other',)",dictionary_replacement_verb_form_change,foo
750,1,"CONCLUSION: While the majority of PWID have had overdose response training, gaps and disparities persist in promotion of naloxone use.","('CONCLUSION:',)",spelling_errors,foo
583,1,Median delay of meningitis occurrence after ICIs onset was 9 days.,"('was',)",random,foo
426,1,The primary outcome was daily pain intensity throughout the treatment period measured by a NRS from 0-10.,"('pain',)",duplication,foo
734,1,Above findings provided evidence for the diagnosis of the fetus and genetic counseling.,"('and',)",insert_determiner,foo
351,1,CONCLUSIONS: This might be a case wherein RANKL inhibition is associated with the pathogenesis of MCD.,"('of',)",random,foo
234,1,"However, these treatments create a burden on patients due to repeated blood collection.","('a',)",punctuations,foo
308,1,EEG patterns can be challenging to interpret and only recently have consensus criteria for EEG diagnosis of SE emerged.,"('be',)",random,foo
200,1,"A nested case control study identified important risk factors for myxomatosis within this pet animal population including season, sex, age, vaccination status and distance to likely wild rabbit habitats.","('control',)",dictionary_replacement_verb_form_change,foo
805,1,It however remains to be determined whether undifferentiated spermatogonia switch their preference for bioenergy production during differentiation.,"('whether',)",verb_form_change_insert_determiner,foo
182,1,Evaluation of 0.2 microg/day fluocinolone acetonide (ILUVIEN) implant in a cohort of previously treated patients with diabetic macular oedema (DMO): a 36-month follow-up clinical case series.,"('with',)",punctuation_braces,foo
160,1,A 67-year-old woman presented with right upper quadrant abdominal pain with elevated alpha-fetoprotein level.,"('presented',)",insert_determiner,foo
625,1,"No serious complications such as subacromial impingement, malunion, nonunion, loss of reduction, or implant failure occurred.","('of',)",dictionary_replacement_verb_form_change,foo
459,1,"So, suggestion of PCI with drug eluting stent may be extended in NSTEMI diabetic patient.","('be',)",split_words,foo
811,1,This review focuses on ciliary dysregulation in a number of ocular diseases and discusses the potential of targeting primary cilia in gene and stem cell therapy for these diseases.,"('review',)",random,foo
973,1,"Objective: To find out the prevalence of adhesions, severity, and their relation to the current clinical scenario and to the type of previous surgery.","('current',)",split_words,foo
458,1,"Motion artifacts were found in 8/60 patients in the diagnostic setup, whereas none were found for patients in the RT setup.","('diagnostic',)",duplication,foo
330,1,"Despite treatment, her condition deteriorated and repeat radiological imaging revealed bilateral tubo-ovarian abscess requiring surgical drainage for control of severe sepsis.","('for',)",random,foo
58,1,"All measures were collected before LVAD implantation, after 1 month and 1 year.","('were',)",split_words,foo
934,1,The present study was therefore designed to analyze the effects of IL-22 towards drug metabolizing enzyme and drug transporter expression and activity in cultured human hepatic cells.,"('drug',)",duplication,foo
535,1,"Tumor cells, especially drug-resistant cells, predominately support growth by glycolysis even under the condition of adequate oxygen, which is known as the Warburg effect.","('under',)",duplication,foo
980,1,The diagnostic utility of genome sequencing in a pediatric cohort with suspected mitochondrial disease.,"('cohort',)",dictionary_replacement_verb_form_change,foo
119,1,COVID-19 and community healthcare: perspectives from Nairobi's informal settlements.,"('from',)",remove_words,foo
