index,ngram,sentences,replace,error,replacement
869,1,"Furthermore, a low expression of LOC285194 was significantly correlated with advanced tumour stage, microvascular invasion, tumour number and differentiation.",['significantly'],insert_determiner,"['if', 'significantly']"
786,1,Our findings reinforce the interrelated nature of PCC dimensions.,['Our'],split_words,['Our']
327,1,Disease Surveillance Investments and Administration: Limits to Information Value in Pakistan Polio Eradication.,['in'],insert_determiner_verb_form_change,"['been', 'in']"
821,1,High school coaches were more likely than club coaches to correctly agree that most concussions resolve in 7 to 10 days (48.6% versus 40.1%; P = .02) and disagree that loss of consciousness is required to diagnose a concussion (87.1% versus 80.9%; P = .02).,['than'],insert_determiner_verb_form_change,"['or', 'than']"
55,1,A fundamental role in starting a correct and timely diagnostic procedure is obviously played by the pediatrician.,['diagnostic'],insert_determiner,"['from', 'diagnostic']"
722,1,PURPOSE: Recognition of childhood epilepsy has improved worldwide.,['of'],insert_determiner,"['on', 'of']"
1694,1,"Given the relatively young age at end of follow-up, surveillance in these workers should continue as the cohort ages.",['should'],insert_determiner,"['were', 'should']"
818,1,RESULTS: Both groups exhibited mean left ventricular ejection fractions that fell within normal limits.,['that'],insert_determiner,"['of', 'that']"
1787,1,"However, there was an increasing trend in lung cancer mortality among Brazilian women living in Northeast, Southeast, and South regions of Brazil.",['women'],verb_form_change_insert_determiner,"['it', 'women']"
478,1,"Furthermore, compared with TB, additional stenting might be effective in improving the venous clinical results at follow-up observations.",['might'],insert_determiner,"['is', 'might']"
1767,1,CONCLUSION: Longitudinal FC modifications occurring relatively early in the course of multiple sclerosis may represent a protective mechanism contributing to preserve clinical function over time.,['in'],duplication,['in in']
123,1,"The Covid-19 pandemic and the resulting fear, quarantine and lockdown measures implemented in Italy and other countries to contain the risk of contagion have seriously impacted the mental health of a large number of people.",['of'],insert_determiner,"['if', 'of']"
394,1,"RESULTS: There were a total of 2906 consecutive THA's recorded, 1413 lateral, 1188 posterior, 233 anterior and 72 superior.",['of'],insert_determiner_verb_form_change,"['on', 'of']"
1882,1,RESULTS: The plasma vWF levels examined at 24 h and 48 h after admission were significantly higher in CAD patients with MACEs than those without.,['significantly'],spelling_errors,['significantly']
601,1,Treatment effects on pain catastrophizing and cutaneous allodynia symptoms in women with migraine and overweight/obesity.,['in'],insert_determiner_verb_form_change,"['to', 'in']"
1784,1,"In the present study, intra-articular administration of SDF-1 contributed to meniscal healing via macrophage, CD90-positive cell and CD105-positive cell accumulation in a rat meniscal defect model.","['study,']",verb_form_change_insert_determiner,"['in', 'study,']"
1084,1,Intravesical recurrence occurred in 218 patients (32.8%) during follow up (median 3.9 years).,['during'],split_words,['during']
719,1,"A log-phase culture of this organism preferably utilized l-cysteine, l-arginine, and l-serine, and released more fraction of ammonia.",['more'],punctuations,['more ?']
1386,1,This study aims to identify the role and potential mechanism of autophagy in TGF-beta2-induced EMT in LECs.,['study'],duplication,['study study']
1594,1,"In both groups, the patients were examined with CMR for the presence of myocardial fibrosis.",['examined'],remove_words,[]
962,1,"Nicotine is one of the most easily accessible, commonly abused drugs worldwide and if taken in overdose can cause serious clinical presentation, including cardiac arrhythmias and neurotoxicity mediated through oxidative stress.",['most'],remove_words,[]
831,1,"In this context, the role of computational methods, such as radiomics and Artificial Intelligence (AI) applications, has been progressing remarkably for dentomaxillofacial radiology (DMFR).",['this'],insert_determiner,"['or', 'this']"
511,1,"Between November 2015 and July 2016, all adult immunocompromised patients with ARF admitted to the ICU were included in the study.",['the'],insert_determiner_verb_form_change,"['an', 'the']"
1970,1,"R(2) = .22), better general psychological health (GHQ-12; beta = - .49, p < .001, adj.",['='],insert_determiner,"['of', '=']"
1514,1,Bioinformatic analyses allowed us to depict gene expression changes at two timepoints of neurovascular post-stroke injury and regeneration.,['to'],split_words,['to']
1638,1,METHODS: Demographic and clinical information were abstracted from medical charts from AYA initiating gender-affirming care.,['and'],punctuations,['and;']
650,1,"The 16S rDNA sequence revealed that S08, S01, and S06 isolates were 99.00% similar to Lactobacillus salivarius, Lactobacillus johnsonii, and Pediococcus acidilactici, respectively.",['revealed'],split_words,['revealed']
1751,1,"Introduction: Since February 2020, the outbreak of COVID-19 in Italy has forced the health care system to undergo profound rearrangements in its services and facilities, especially in the worst-hit areas in Northern Italy.",['the'],split_words,['the']
475,1,CONCLUSION: This work demonstrates that CSF biomarkers of neuronal damage or inflammation may vary during CNS infections according to different causative agents.,['damage'],verb_form_change_insert_determiner,"['if', 'damages']"
1227,1,"Moreover, we found that the 52.4% had a waist circumference > 90th percentile, 21.4% were hypertensive, 7.14% had hyperglycemia, 9.5% had hypertriglyceridemia, and 17.9% showed high-density lipoprotein cholesterol </= 40 mg/dl.",['and'],spelling_errors,['and']
1320,1,"METHODS: Consecutive patients with early RA (symptom duration <12 months) were followed according to a structured programme and examined with dual-energy X-ray absorptiometry (DXA) at inclusion and after 2, 5 and 10 years.",['METHODS:'],insert_determiner_verb_form_change,"['if', 'METHODS:']"
291,1,"The study group received a vocal warm-up session with the innovative water resistance ventilation mask (tube attached to the mask ""outside"" the mouth), whereas the control group received the traditional water resistance approach (tube ""inside"" the mouth).",['with'],insert_determiner,"['to', 'with']"
286,1,"The temperature-shifted melting curves produced by the HRM analysis, resulted in 98 unique HRM profiles, which enabled the discrimination of the Origanum genotypes studied.",['The'],duplication,['The The']
1144,1,"In order to improve the survival rate of patients with pancreatic cancer, the development of non-invasive diagnostic methods using effective biomarkers is urgently needed.",['to'],punctuation_braces,['to ( ']
317,1,"In all instances, histological examination revealed the presence of a single cystic space, containing clusters of columnar, intermediate, epidermoid, clear and mucous-producing cells, the latter exhibiting distinct intra-cytoplasmic mucin production, as confirmed by PAS, Mucicarmine and Alcian Blue stains.",['and'],duplication,['and and']
1967,1,"S. aureus colonization was observed in 33.8 % (n=71) of the patients, 4.8 % (n=10) of which were colonized by methicillin-resistant S. aureus.",['observed'],remove_words,[]
1210,1,"Electronic medical records were reviewed for patient demographics, surgical indications, characteristics, and outcomes.",['outcomes.'],spelling_errors,['outcomes.']
1233,1,"Postoperative adjuvant chemotherapy may not provide a survival benefit for stage IIIA colon cancer, even in the presence of risk factors.",['for'],spelling_errors,['for']
334,1,"Moreover, based on initial screening and subsequent follow-up, we identified two buffers in which rhCNTF retains its stability during storage.",['we'],spelling_errors,['we']
1672,1,Specific humoral response in cancer patients treated with a VEGF-specific active immunotherapy procedure within a compassionate use program.,['in'],duplication,['in in']
576,1,Six (1.3%) new abnormalities (hemoglobin between 8.0 and 10.0) were identified on CBC.,['on'],remove_words,[]
1184,1,"Twenty-one days post challenge (dpc), the highest relative percent survival was recorded in the IglC-Montanide group (75%), compared to 53%, 50%, 22%, 19% and 16% in the IglC-nanoparticles, GroEL-Montanide, GroEL-nanoparticles, diatoms-Montanide and diatoms-nanoparticles groups, respectively.",['survival'],insert_determiner_verb_form_change,"['it', 'survival']"
1859,1,The development of surgical instruments began thousands of years ago and continues to evolve.,['development'],insert_determiner_verb_form_change,"['if', 'development']"
1242,1,"Any apparent differences in test accuracy may not be attributable to the tests, and may have been caused by known differences in the studies, latent characteristics or chance.",['the'],duplication,['the the']
427,1,"Diagnosing colorectal cancer in primary care: cohort study in Sweden of qualitative faecal immunochemical tests, haemoglobin levels, and platelet counts.",['cancer'],verb_form_change_insert_determiner,"['it', 'cancer']"
504,1,"Postoperative radiologic examination was performed, and the clinical outcome was evaluated with the modified Rankin Scale.",['and'],duplication,['and and']
1252,1,EA combined with exercise training appeared to significantly promote the recovery of motor function in the middle and late stages of cerebral infarction in this rat model.,['significantly'],insert_determiner_verb_form_change,"['to', 'significantly']"
78,1,"OBJECTIVE: This study aimed to pilot procedures and obtain data on methodological processes and intervention satisfaction to determine the feasibility of a definitive randomized controlled trial (RCT) to test the effectiveness of a self-managed ICBT program, Breathe (Being Real, Easing Anxiety: Tools Helping Electronically), for adolescents with anxiety concerns.",['of'],insert_determiner,"['in', 'of']"
417,1,"Univariate and multivariate analyses were performed.Results: A total of 26,517 full-term vaginal deliveries occurred during the study period with a rate of postpartum UTI of 0.7%.",['a'],insert_determiner,"['from', 'a']"
904,1,Comparative features of isolated aortitis were described.,['were'],insert_determiner,"['if', 'were']"
1975,1,"Methods include the use of sharp punches with depth control, and blunt rotating punches.",['of'],spelling_errors,['of']
987,1,Correction: Endogenous theta stimulation during meditation predicts reduced opioid dosing following treatment with Mindfulness Oriented Recovery Enhancement.,['reduced'],remove_words,[]
864,1,"Although the importance of lncRNA in cancer has been proven, how lncRNA is involved in OC is waiting for further investigation.",['for'],insert_determiner_verb_form_change,"['it', 'for']"
1721,1,CONCLUSIONS: This study with 575 subjects is the largest misophonia sample ever described.,['sample'],punctuations,['sample;']
1000,1,This study provides a scientific basis for the protection of germplasm resources and the breeding of M. petechialis.,['the'],remove_words,[]
571,1,The Hyp-Cam and Str-Cam groups trained with a machine where the load was adjusted to the strength capabilities of the elbow flexors.,['a'],insert_determiner_verb_form_change,"['if', 'a']"
7,1,"Spatially, there was a sequential transformation of Zn to ZnO in the direction from the separator towards the current collector.",['current'],insert_determiner,"['in', 'current']"
67,1,"Neurosurgical training most commonly consisted of 3 (n = 22, 49%) or 6 years (n = 14, 31%).",['years'],punctuations,['years ?']
122,1,Studies not related to COVID-19 diagnosis were excluded.,['not'],duplication,['not not']
325,1,"Methods: between June and August 2015, 1055 HFs were visited across 44 Local Government Areas in Kano state.",['were'],split_words,['were']
1303,1,CONCLUSION: Both individual and health system issues hinder and enable the availability and use of information.,['the'],insert_determiner,"['is', 'the']"
1421,1,The two subsets differ in clinical-pathological characteristics.,['The'],spelling_errors,['The']
1926,1,"In order to meet the data requirements for COVID-19 CT imaging, we propose a CT image synthesis approach based on a conditional generative adversarial network that can effectively generate high-quality and realistic COVID-19 CT images for use in deep-learning-based medical imaging tasks.",['a'],remove_words,[]
1082,1,Descriptive statistics were used for demographic and numerical data.,['for'],spelling_errors,['for']
1828,1,"As a defense mechanism, gut epithelial cells produce a mucosal barrier to segregate microbiota from host immune cells and reduce intestinal permeability.",['to'],insert_determiner,"['a', 'to']"
551,1,Then the miRNA-TF-gene regulatory network was constructed using bioinformatic methods.,['the'],insert_determiner_verb_form_change,"['it', 'the']"
382,1,The effects of regular aerobic exercise training on blood nitric oxide levels and oxidized LDL and the role of eNOS intron 4a/b polymorphism.,['training'],insert_determiner_verb_form_change,"['in', 'trains']"
582,1,"Statistics, as a science, is the scientific process of acquisition and management of a given set of data.",['the'],verb_form_change_insert_determiner,"['to', 'the']"
724,1,"Using a checklist, the health care professionals were encouraged to take a more proactive approach in promoting smoking cessation, resulting in 100% of the patients being asked about their smoking status.",['about'],verb_form_change_insert_determiner,"['from', 'about']"
1592,1,This study aims to give insight into memory T-cell populations and its associated cytokines in the decidual layers in early-onset preeclampsia (EO-PE) and late-onset preeclampsia (LO-PE).,['to'],duplication,['to to']
915,1,Gastrointestinal Stromal Tumours (GIST) in Young Adult (18-40 Years) Patients: A Report from the Dutch GIST Registry.,['the'],insert_determiner_verb_form_change,"['from', 'the']"
1188,1,"The interaction effects between alcohol and obesity make the present strict dichotomization of liver disease into alcoholic and NAFLD inappropriate, and require attention in future research, public health policy, individual counseling, and risk stratification.",['health'],verb_form_change_insert_determiner,"['in', 'health']"
675,1,The CRs were blinded to clinical data and site information of the participants.,['to'],insert_determiner,"['if', 'to']"
557,1,The apoptosis rate was detected using AnnexinV and propidium iodide.,['The'],remove_words,[]
1764,1,The purpose of this study was to describe a novel and reproducible hospital classification methodology.,['describe'],insert_determiner_verb_form_change,"['are', 'describe']"
1429,1,Physicians should weigh in the input of the CUP classifier to the clinical picture and pathology investigations before performing additional investigations.,['before'],duplication,['before before']
1754,1,"So, suggestion of PCI with drug eluting stent may be extended in NSTEMI diabetic patient.",['may'],insert_determiner_verb_form_change,"['from', 'might']"
422,1,"However, whether it is involved in the regulation of triple-negative breast cancer development has not been elucidated.",['cancer'],verb_form_change_insert_determiner,"['to', 'cancer']"
1497,1,Sleep deprivation in an American homeless population.,['an'],insert_determiner,"['it', 'an']"
1445,1,Function analysis was used to uncover the biological roles of these prognostic DEGs between different risk groups classified by the mRNA-based signature.,['by'],verb_form_change_insert_determiner,"['if', 'by']"
1145,1,"Shandong, Jiangsu, Zhejiang, Sichuan, Guangdong, Henan, Yunnan, and Fujian provinces contributed significant amounts, with a total emission of 120 kt in 2017, accounting for nearly 55% of the total VOCs emission for architectural adhesives.",['and'],split_words,['and']
1237,1,The data were thematically analyzed.,['data'],verb_form_change_insert_determiner,"['or', 'data']"
1190,1,A randomised controlled trial of extended anticoagulation treatment versus standard treatment for the prevention of recurrent venous thromboembolism (VTE) and post-thrombotic syndrome in patients being treated for a first episode of unprovoked VTE (the ExACT study).,['standard'],verb_form_change_insert_determiner,"['of', 'standard']"
1453,1,Mechanical Power during Veno-Venous Extracorporeal Membrane Oxygenation Initiation: A Pilot-Study.,['during'],verb_form_change_insert_determiner,"['it', 'during']"
1932,1,Purpose: Quantification of corneal confocal microscopy (CCM) images has shown a significant reduction in corneal nerve fiber length (CNFL) in a range of peripheral neuropathies.,['reduction'],insert_determiner_verb_form_change,"['been', 'reduction']"
1377,1,Multivariate Cox-regression analysis was performed to determine the independence of associations of specific factors with CRC's OS.,['the'],split_words,['the']
721,1,"Participants randomized to exercise-only CR received 36 exercise classes; the CCR group also received 24 educational sessions, including a workbook.",['the'],insert_determiner_verb_form_change,"['in', 'the']"
1520,1,"This observational analysis used standard Medicare fee-for-service administrative claims to calculate hospital-specific scores for OP-10, OP-11, and OP-14.",['for'],spelling_errors,['for']
963,1,CONCLUSION: The concept of FCC is a familiar terminology among health professionals.,['CONCLUSION:'],remove_words,[]
1013,1,"However, plants exposed to 0 and 740 muM Al had similar number of leaves, plant height, root biomass, root length, total plant biomass and gas exchange rates, indicating that no beneficial effects from 740 muM Al could be noted on this species.",['of'],duplication,['of of']
1416,1,Glioma Grading via Analysis of Digital Pathology Images Using Machine Learning.,['Using'],insert_determiner,"['to', 'Using']"
780,1,"In patients with high cardiovascular risk (ASCVD score > 7.5%), LV V60 > 0% remained a negative ACS prognostic factor (P = 0.003).",['risk'],duplication,['risk risk']
1230,1,"The latter must be differentiated from allergic fungal sinusitis, which is a non-invasive, local overgrowth in immunocompetent patients.",['which'],remove_words,[]
1322,1,ACS was not confirmed in 4 (5.2%) of 76 (67.9 %) patients with abnormal SLS changes.,['patients'],insert_determiner_verb_form_change,"['are', 'patients']"
1450,1,We found a significant association between symptoms and SARS-CoV-2 status.,['between'],insert_determiner_verb_form_change,"['an', 'between']"
486,1,"METHODS: Literature describing hip arthroscopy in patients with BDDH was systematically identified from PubMed, EMBASE, and Cochrane Library using the Preferred Reporting Items for Systematic Reviews and Meta-analyses guidelines.",['the'],insert_determiner,"['to', 'the']"
775,1,Nearly all patients (98%) had pure ground-glass opacities (GGO) in CT imaging.,['patients'],insert_determiner,"['or', 'patients']"
592,1,"In the fully adjusted model, PP >/= median was associated with an increased hazard of kidney disease progression endpoints (HR: 1.93 (1.43 - 2.61)).",['with'],insert_determiner,"['from', 'with']"
1724,1,Trajectories of glycaemia following acute pancreatitis: a prospective longitudinal cohort study with 24 months follow-up.,['acute'],insert_determiner_verb_form_change,"['on', 'acute']"
1108,1,"As a result of removing the passive layers, the electrode potential also changes to the negative side.",['to'],verb_form_change_insert_determiner,"['to', 'to']"
549,1,"The association was much stronger if an item referred to a specific EBP, rather than EBP in general.",['specific'],insert_determiner_verb_form_change,"['of', 'specific']"
218,1,BACKGROUND: Dietary fiber increases short-chain fatty acid (SCFA)-producing bacteria yet is often withheld in the intensive care unit (ICU).,['acid'],insert_determiner_verb_form_change,"['an', 'acid']"
1214,1,"A lack of abnormal uptake can be reasonably reassuring that these conditions are not present, thereby avoiding unnecessary additional testing.",['not'],spelling_errors,['not']
1853,1,"Compared to other racial groups, non-Hispanic whites had a notably higher prevalence of opioid use disorders (5.8/1,000 pregnancy-related discharges) (P < 0.05 for all).Conclusions: Very few health issues have garnered the attention of such diverse sectors of our society as the opioid epidemic.",['diverse'],duplication,['diverse diverse']
1251,1,"Non-carious cervical lesion is a common dental disease, which not only affects the aesthetic and function of the teeth, but also leads to dentin sensitivity, pulpitis and other consequences.",['which'],insert_determiner,"['were', 'which']"
1479,1,"The present study may lead to the identification of novel biomarkers or potential therapeutic targets for use in the treatment of cancers, such as colon adenocarcinoma, oesophageal carcinoma, liver hepatocellular carcinoma, lung cancer and stomach adenocarcinoma.",['and'],spelling_errors,['and']
1463,1,"Results The sample was composed of 117 patients, with 54.7% of female subjects with a mean age of 10 years.","['patients,']",spelling_errors,"['patients,']"
1550,1,Pharmacokinetic/pharmacodynamic analysis showed that serum phosphorus levels and physiologic infigratinib concentrations were correlated positively.,['serum'],duplication,['serum serum']
378,1,"The imaging data included the Garden classification and Pauwel classification of fractures, femoral head retroversion angle, postoperative fracture reduction, screw distribution.",['the'],spelling_errors,['the']
1278,1,Main Outcomes and Measures: The main outcomes were the proportions of daily wearers of eyeglasses among patients admitted to the hospital with COVID-19 and among the local population.,['with'],insert_determiner_verb_form_change,"['are', 'with']"
691,1,AIM: To interview community-dwelling older people aged >/=65 years who had recently held a conversation with a healthcare worker and to understand the meanings older people attributed to these conversations.,['years'],remove_words,[]
237,1,"Therefore, stock solution tubes in intestinal microbial research can be used without problems.",['in'],spelling_errors,['in']
1072,1,"CONCLUSIONS: Asymmetry of the face and body is a general rule in human anatomy, but correlation and consistency of this asymmetry between the left and right sides is a novel finding based on our measurements.",['a'],spelling_errors,['a']
58,1,Adjuvant radiation was given to 95 patients overall (72.0%) and to 62 of the 79 patients with positive margins (78.5%).,['the'],remove_words,[]
697,1,This review provides a comprehensive overview of the relevant literature and highlights the potential of state-of-the-art genomics and functional genomics research to facilitate the development of novel diagnostics and therapeutic modalities in MPM.,['to'],insert_determiner,"['in', 'to']"
1064,1,"METHODS AND RESULTS: In this study, we investigated the relationship between plasma level of SH3YL1 and diabetic nephropathy in patients with type 2 diabetes.",['AND'],duplication,['AND AND']
801,1,"Session content was mainly targeted at allied respiratory professionals such as respiratory physiologists, respiratory physiotherapists and respiratory nurses, and is summarised in this document.",['at'],remove_words,[]
1018,1,"We carried out a series of Monte Carlo simulation experiments based on predesigned scenarios, and assessed the accuracy of effect estimations from meta-analyses of case-control studies by combining ORs calculated according to different adjustment strategies.",['effect'],insert_determiner_verb_form_change,"['from', 'effected']"
607,1,"Materials and Methods: We identified 116 patients treated with definitive RT, including FDG-PET/CT-guided intracavitary brachytherapy, between 2009 and 2018.",['including'],duplication,['including including']
802,1,"At latest follow-up, TGR patients had better maintenance of curve correction, less kyphosis, and 15% greater absolute gain in thoracic height versus VEPTR patients.",['better'],remove_words,[]
201,1,"This study assessed the seroprevalence, epidemiology and laboratory characteristics of these two parasitic infections in a non-endemic setting in an immigrant/refugee HIV positive community.",['a'],verb_form_change_insert_determiner,"['from', 'a']"
195,1,"We use cloning and expansion of GGGGCC repeats, which are the leading genetic cause of amyotrophic lateral sclerosis (ALS) and frontotemporal dementia (FTD), as an example.",['use'],duplication,['use use']
1265,1,"Finally, plasma chemokine levels were stable over treatment time, but suggest elevated gut homing immune responses in treatment successes during the treatment as compared to treatment failures.","['Finally,']",split_words,"['Finally,']"
366,1,Secondary outcome measures included motor function and neurophysiological parameters.,['outcome'],verb_form_change_insert_determiner,"['it', 'outcome']"
19,1,"In addition, production of intracellular ferrous ions increased.","['addition,']",insert_determiner,"['if', 'addition,']"
273,1,"Detection of Reticuloendotheliosis Virus in Muscovy Ducks, Wild Turkeys, and Chickens in Brazil.",['of'],verb_form_change_insert_determiner,"['were', 'of']"
1448,1,"RESULTS: The pan genome of the 69 sequenced M. haemolytica strains consisted of 3111 genes, of which 1880 comprised a shared core between the genotypes.",['a'],insert_determiner,"['if', 'a']"
1978,1,"Among the 26 included women, 16 had a history of recurrent implantation failures, with median age of 37 years (29-43) and median 9.5 (3-19) embryo transfers.",['the'],verb_form_change_insert_determiner,"['are', 'the']"
30,1,"CONCLUSION: RS was related to quantitative IHC in patients with RS </= 25, with a good performance of the statistical model in both internal and external validation.",['to'],insert_determiner_verb_form_change,"['if', 'to']"
474,1,"However, not all cortical bone lesions are erosions.",['lesions'],spelling_errors,['lesions']
1443,1,"The present study investigated the effects of exercise, crocin and their combination on spatial learning and memory impairment and dendritic retraction of the CA3 pyramidal neurons induced by chronic adolescent stress in adult male rats.",['present'],verb_form_change_insert_determiner,"['is', 'presenting']"
518,1,"The five included studies evaluated a total of 39,067 patients with diabetes mellitus, including 21,395 patients on SGLT2 inhibitors.",['including'],punctuations,"['including,']"
1224,1,"Thus, we established a novel GCTB cell line, NCC-GCTB1-C1, which could be a useful tool for studying GCTB tumorigenesis and the efficacy of anticancer drugs.",['the'],duplication,['the the']
676,1,Results Thirteen studies on 850 patients were included.,['Results'],remove_words,[]
1917,1,"Finally, the establishment and developmental model of promoting child life services in Taiwan are reviewed with the goal of providing information for the promotion and utilization of child life services by healthcare professionals in practice settings.",['healthcare'],punctuations,['healthcare-']
712,1,A population-based cross-sectional study.,['A'],split_words,['A']
1480,1,"Results: A total of 43025 patients were identified, 81.7% were aged 74 years.",['A'],spelling_errors,['A']
449,1,"Guideline-consistent care was associated with fewer pneumothoraxes (5.1% vs 22%; P < .001), chest tubes (0.9% vs 4.4%; P < .001), hemorrhages (3.5% vs 5.8%; P < .001), and respiratory failure events (2.7% vs 3.7%; P = .047) than guideline-inconsistent care.",['P'],punctuation_braces,['P ] ']
252,1,Trust and world view were employed as meta themes to guide our examination of the data.,['and'],insert_determiner,"['or', 'and']"
559,1,We identified 26 decisional needs grouped under five themes.,['identified'],punctuations,['identified..']
320,1,Evaluation of HCV RNA by PCR and Signal-to-Cutoff Ratios of HCV Antibody Assays for Diagnosis of HCV Infection.,['for'],insert_determiner_verb_form_change,"['is', 'for']"
1452,1,"The questionnaires were distributed to 250 eligible patients attending Endocrinology clinic at the University of Uyo Teaching Hospital, Akwa Ibom State, Nigeria.",['The'],insert_determiner_verb_form_change,"['or', 'The']"
1964,1,We quantified strength of association using odds ratio (OR) with 95% confidence interval (CI).,['using'],insert_determiner_verb_form_change,"['an', 'uses']"
1912,1,"The two branches were composed of 1,4-linked alpha-D-Glcp terminated with alpha-D-Glcp, 1,4-linked alpha-D-Glcp and 1,4-linked beta-Galp terminated by alpha-D-Glcp.",['two'],insert_determiner_verb_form_change,"['from', 'two']"
1337,1,"Results: The two cohorts of patients were comparable for age, sex, laboratory values, concomitant pathologies, and the modality of oxygen support.",['two'],split_words,['two']
1290,1,"Although citrulline appears to be good screening tool, oral food ingestion should be considered as key goal in patients with cIF.",['Although'],spelling_errors,['Although']
552,1,The technique of DVC control did not impact EF.,['not'],duplication,['not not']
387,1,"The production of ESBL is primarily plasmid mediated, and such plasmids often comprise the genes that encode resistance to other classes of antimicrobials, such as aminoglycosides and fluoroquinolones.",['genes'],insert_determiner,"['in', 'genes']"
971,1,"In this study, batch experiments were conducted to compare the effect of temperature and substrate source on microbial communities in the anaerobic digestion of kitchen waste.",['were'],verb_form_change_insert_determiner,"['to', 'being']"
1027,1,"In view of these findings, we strongly encourage the conduction of prospective studies to determine the baseline levels of IL-6 in infected patients, which can predict a negative outcome in COVID-19 cases, with subsequent early administration of IL-6 inhibitors, to decrease the need for ICU admission and the pressure on healthcare systems.",['in'],insert_determiner_verb_form_change,"['is', 'in']"
